"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\edit-profil-dialog\edit-profil-dialog.component.scss", "SCSS", 0, 0, 0, -134, 0, 0, 0, -1, -8, -143
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\edit-profil-dialog\edit-profil-dialog.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\edit-profil-dialog\edit-profil-dialog.component.ts", "TypeScript", 0, 0, 0, 0, -38, 0, 0, 0, -10, -48
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\profil-dialog.component.html", "HTML", 0, 0, 0, 0, 0, -34, 0, 0, -5, -39
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\profil-dialog.component.scss", "SCSS", 0, 0, 0, -98, 0, 0, 0, -1, -10, -109
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\profil-dialog.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\profil-dialog.component.ts", "TypeScript", 0, 0, 0, 0, -69, 0, 0, 0, -9, -78
"\Users\avogath\Desktop\DA\DABubble\src\app\variables.service.spec.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"\Users\avogath\Desktop\DA\DABubble\src\app\variables.service.ts", "TypeScript", 0, 0, 0, 0, -109, 0, 0, 0, -29, -138
"\Users\avogath\Desktop\DA\DABubble\src\index.html", "HTML", 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"\Users\avogath\Desktop\DA\DABubble\src\main.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, -2, -8
"\Users\avogath\Desktop\DA\DABubble\src\styles.scss", "SCSS", 0, 0, 0, -41, 0, 0, 0, 0, -15, -56
"\Users\avogath\Desktop\DA\DABubble\src\vite.config.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, -3, -9
"\Users\avogath\Desktop\DA\DABubble\tsconfig.app.json", "JSON", -13, 0, 0, 0, 0, 0, 0, -2, -1, -16
"\Users\avogath\Desktop\DA\DABubble\tsconfig.json", "JSON with Comments", 0, -30, 0, 0, 0, 0, 0, -2, -1, -33
